id,name,slug,type,status,description,short_description,sku,price,sale_price,stock_quantity,stock_status,manage_stock,weight,length,width,height,tax_class,shipping_class,featured,sold_individually,min_purchase_quantity,max_purchase_quantity,backorders,catalog_visibility,categories,tags,brands,image_url,gallery_image_urls,variation_parent_sku,variation_attributes,bundled_items_json,grouped_children_skus,upsell_skus,cross_sell_skus,related_skus,downloadable_files_json,external_url,external_button_text
,Petalworks Heritage Indoor Watering Can 2L Series 3 № 0011,petalworks-heritage-indoor-watering-can-2l-series-3-no-0011,physical,publish,"Engineered for daily use, Healthy, nursery-grown indoor plant shipped in its 19cm grow pot. Includes a care card with light, watering and humidity guidance. Free carbon-neutral shipping over $50.",Nursery-grown indoor plant with care card.,TJC-GPL-00011,63.25,,230,instock,1,3.59,40,30,50,,,,,1,,notify,visible,"Garden, Plants","plants, garden, indoor",Greenroot,https://loremflickr.com/1200/1200/plant%2Cpot%2Chouseplant%2Cgarden?lock=700011,https://picsum.photos/seed/tjc-gpl-00011-g1/1200/1200.jpg|https://picsum.photos/seed/tjc-gpl-00011-g2/1200/1200.jpg|https://picsum.photos/seed/tjc-gpl-00011-g3/1200/1200.jpg|https://picsum.photos/seed/tjc-gpl-00011-g4/1200/1200.jpg,,,,,,,,,,
,Trailwise Boost Walking Shoes S-0012,trailwise-boost-walking-shoes-s-0012,physical,publish,"Built around what you actually use, Energy-return foam midsole, a breathable engineered-mesh upper, and a rubber outsole tuned for wet-road grip. Reflective heel detailing and a recycled-plastic lace system. Free carbon-neutral shipping over $50.",Energy-return running shoes with breathable upper.,TJC-SHS-00012,298.18,,69,instock,1,1.15,32,22,13,,,,,1,,,visible,"Clothing, Shoes","shoes, sneakers, running",Veloce,https://loremflickr.com/1200/1200/shoes%2Csneakers?lock=700012,https://picsum.photos/seed/tjc-shs-00012-g1/1200/1200.jpg|https://picsum.photos/seed/tjc-shs-00012-g2/1200/1200.jpg|https://picsum.photos/seed/tjc-shs-00012-g3/1200/1200.jpg,,,,,,,,,,
,"Aurora Cinema 65"" 4K OLED TV Studio Series 0013",aurora-cinema-65-4k-oled-tv-studio-series-0013,physical,publish,"Crafted with care, QLED panel with full-array local dimming and a 120Hz native refresh rate. Dolby Vision IQ, Dolby Atmos through a 2.1.2 down-firing speaker array, HDMI 2.1 with VRR and ALLM on all four ports, and Wi-Fi 6E for cable-free streaming. Backed by a two-year warranty.",Premium 4K QLED TV with Dolby Vision IQ and 120Hz panel.,TJC-TVS-00013,2546.42,,74,instock,1,13.25,145,90,7,,bulky,,,1,,,visible,"Electronics, TVs","tv, 4k, smart-tv, dolby-vision",Nimbus,https://loremflickr.com/1200/1200/television%2Ctv?lock=700013,https://picsum.photos/seed/tjc-tvs-00013-g1/1200/1200.jpg|https://picsum.photos/seed/tjc-tvs-00013-g2/1200/1200.jpg|https://picsum.photos/seed/tjc-tvs-00013-g3/1200/1200.jpg|https://picsum.photos/seed/tjc-tvs-00013-g4/1200/1200.jpg|https://picsum.photos/seed/tjc-tvs-00013-g5/1200/1200.jpg,,,,,,,,,,
,Verdant Pantry Heritage Manuka Honey 250g Model 0014,verdant-pantry-heritage-manuka-honey-250g-model-0014,physical,publish,"Crafted with care, Cold-pressed extra-virgin olive oil from a single estate in Puglia. Harvested October, milled within 6 hours, and bottled in dark glass to preserve polyphenols. Independently lab-tested for safety and durability.",Cold-pressed single-estate Puglian EVOO.,TJC-PTR-00014,76.27,,47,instock,1,1.24,9,9,30,,,,,1,,notify,visible,"Food, Pantry","pantry, olive-oil, specialty, food",Borealis Beans,https://loremflickr.com/1200/1200/olive%2Coil%2Cpantry%2Cfood?lock=700014,https://picsum.photos/seed/tjc-ptr-00014-g1/1200/1200.jpg|https://picsum.photos/seed/tjc-ptr-00014-g2/1200/1200.jpg,,,,,,,,,,
,Wildcrest Pet Studio Plush Dog Toy Ref. 00015,wildcrest-pet-studio-plush-dog-toy-ref-00015,physical,publish,"Made for everyday performance, Padded ergonomic harness with two attachment points and a reflective trim. Adjustable across four chest sizes; the steel D-ring rated to 250kg pull-through. Free carbon-neutral shipping over $50.",Padded reflective harness with two leash points.,TJC-PTD-00015,122.72,,271,instock,1,3.23,50,30,12,,,,,1,,,visible,"Pets, Dogs","pets, dog, accessories",Companion Co.,https://loremflickr.com/1200/1200/dog%2Cpet%2Csupplies?lock=700015,https://picsum.photos/seed/tjc-ptd-00015-g1/1200/1200.jpg|https://picsum.photos/seed/tjc-ptd-00015-g2/1200/1200.jpg|https://picsum.photos/seed/tjc-ptd-00015-g3/1200/1200.jpg,,,,,,,,,,
,Wildcrest Pet Trail Interactive Feather Wand Mk 0016,wildcrest-pet-trail-interactive-feather-wand-mk-0016,physical,publish,"A studio-tested favourite, Four-tier cat tree built from FSC-certified pine with hand-wound sisal posts and plush platforms. Stable footprint; arrives in two pieces with M8 fixings. Independently lab-tested for safety and durability.",FSC pine cat tree with hand-wound sisal posts.,TJC-PTC-00016,142.83,,155,instock,1,3.81,60,40,20,,,,,1,,,visible,"Pets, Cats","pets, cat, accessories",Pawborough,https://loremflickr.com/1200/1200/cat%2Cpet%2Csupplies?lock=700016,https://picsum.photos/seed/tjc-ptc-00016-g1/1200/1200.jpg|https://picsum.photos/seed/tjc-ptc-00016-g2/1200/1200.jpg|https://picsum.photos/seed/tjc-ptc-00016-g3/1200/1200.jpg|https://picsum.photos/seed/tjc-ptc-00016-g4/1200/1200.jpg,,,,,,,,,,
,Stride Eco Bolster Cushion Edge № 0017,stride-eco-bolster-cushion-edge-no-0017,physical,publish,"Crafted with care, Closed-cell organic cotton construction repels sweat and bacteria — wipe clean with a damp cloth. 180×60cm rolled size fits both hot-yoga and floor-pilates studios; reversible textured surface gives extra grip in downward dog. Independently lab-tested for safety and durability.",Non-slip closed-cell yoga gear.,TJC-YOG-00017,55.2,,185,instock,1,2.6,180,60,5,,,,,1,,,visible,"Sports, Yoga","yoga, mat, fitness",Apex Outdoors,https://loremflickr.com/1200/1200/yoga%2Cmat%2Cfitness?lock=700017,https://picsum.photos/seed/tjc-yog-00017-g1/1200/1200.jpg|https://picsum.photos/seed/tjc-yog-00017-g2/1200/1200.jpg|https://picsum.photos/seed/tjc-yog-00017-g3/1200/1200.jpg|https://picsum.photos/seed/tjc-yog-00017-g4/1200/1200.jpg|https://picsum.photos/seed/tjc-yog-00017-g5/1200/1200.jpg,,,,,,,,,,
,Hearth Coastal Linen Duvet Cover 2026 Edition S-0018,hearth-coastal-linen-duvet-cover-2026-edition-s-0018,physical,publish,"Built around what you actually use, OEKO-TEX certified 500-thread-count long-staple cotton with mitred hems and oversized envelope corners. Pre-washed for an instant lived-in feel and improved softness wash after wash. Independently lab-tested for safety and durability.",500-TC OEKO-TEX certified long-staple cotton sheets.,TJC-BED-00018,252.31,225.27,115,instock,1,2.77,35,30,12,,,,,1,,,visible,"Home & Kitchen, Bedding","bedding, sheets, home",Lumin Interiors,https://loremflickr.com/1200/1200/bedding%2Clinen%2Csheets?lock=700018,https://picsum.photos/seed/tjc-bed-00018-g1/1200/1200.jpg|https://picsum.photos/seed/tjc-bed-00018-g2/1200/1200.jpg|https://picsum.photos/seed/tjc-bed-00018-g3/1200/1200.jpg|https://picsum.photos/seed/tjc-bed-00018-g4/1200/1200.jpg|https://picsum.photos/seed/tjc-bed-00018-g5/1200/1200.jpg,,,,,,,,,,
,Cloudling Trail Wooden Crib Limited Edition Series 0019,cloudling-trail-wooden-crib-limited-edition-series-0019,physical,publish,"Crafted with care, JPMA-certified, machine-washable fabrics, and a one-hand fold that fits in any car boot. Front-facing and parent-facing seat options for ages 6 months to 4 years. Independently lab-tested for safety and durability.",JPMA-certified stroller with one-hand fold.,TJC-BBY-00019,647.2,,50,instock,1,3.44,70,40,30,,bulky,,,1,,,visible,Baby & Kids,"baby, kids, nursery",Cloudling,https://loremflickr.com/1200/1200/baby%2Ckids%2Cnursery?lock=700019,https://picsum.photos/seed/tjc-bby-00019-g1/1200/1200.jpg|https://picsum.photos/seed/tjc-bby-00019-g2/1200/1200.jpg|https://picsum.photos/seed/tjc-bby-00019-g3/1200/1200.jpg|https://picsum.photos/seed/tjc-bby-00019-g4/1200/1200.jpg,,,,,,,,,,
,Coastline Trail Down Puffer Model 0020,coastline-trail-down-puffer-model-0020,physical,publish,"Designed to last, Three-layer waterproof shell rated to 20,000mm with fully taped seams and a YKK AquaGuard front zip. Adjustable storm hood, packs into its own pocket, and finishes at 510g in size M. Backed by a two-year warranty.",3-layer 20K mm waterproof shell with taped seams.,TJC-OWR-00020,227.93,,64,instock,1,1.94,36,28,4,,,,,1,,,visible,"Clothing, Outerwear","outerwear, jacket, waterproof",Atlas Studio,https://loremflickr.com/1200/1200/jacket%2Ccoat%2Couterwear?lock=700020,https://picsum.photos/seed/tjc-owr-00020-g1/1200/1200.jpg|https://picsum.photos/seed/tjc-owr-00020-g2/1200/1200.jpg|https://picsum.photos/seed/tjc-owr-00020-g3/1200/1200.jpg|https://picsum.photos/seed/tjc-owr-00020-g4/1200/1200.jpg,,,,,,,,,,
,Verdant Pantry Single-Estate Extra-Virgin Olive Oil 500ml Ref. 00021,verdant-pantry-single-estate-extra-virgin-olive-oil-500ml-ref-00021,physical,publish,"Engineered for daily use, Cold-pressed extra-virgin olive oil from a single estate in Puglia. Harvested October, milled within 6 hours, and bottled in dark glass to preserve polyphenols. Independently lab-tested for safety and durability.",Cold-pressed single-estate Puglian EVOO.,TJC-PTR-00021,83.07,72.95,42,instock,1,0.84,9,9,30,,,,,1,,,visible,"Food, Pantry","pantry, olive-oil, specialty, food",Hearthstone Roasters,https://loremflickr.com/1200/1200/olive%2Coil%2Cpantry%2Cfood?lock=700021,https://picsum.photos/seed/tjc-ptr-00021-g1/1200/1200.jpg|https://picsum.photos/seed/tjc-ptr-00021-g2/1200/1200.jpg|https://picsum.photos/seed/tjc-ptr-00021-g3/1200/1200.jpg|https://picsum.photos/seed/tjc-ptr-00021-g4/1200/1200.jpg,,,,,,,,,,
,Heritage Polo Shirt Mk 0022,heritage-polo-shirt-mk-0022,physical,publish,"A studio-tested favourite, modal jersey in a tailored fit cut with reinforced shoulder seams and a soft-washed finish. Pre-shrunk for size accuracy after the first wash; tailored neckline keeps its shape over time. Backed by a two-year warranty.",modal jersey overshirt in a tailored fit.,TJC-MNT-00022,144.37,102.11,227,instock,1,0.4,28,22,2,,,,,1,,,visible,"Clothing, Men","mens, apparel, top",Meridian Wear,https://loremflickr.com/1200/1200/mens%2Ct-shirt%2Capparel?lock=700022,https://picsum.photos/seed/tjc-mnt-00022-g1/1200/1200.jpg|https://picsum.photos/seed/tjc-mnt-00022-g2/1200/1200.jpg|https://picsum.photos/seed/tjc-mnt-00022-g3/1200/1200.jpg|https://picsum.photos/seed/tjc-mnt-00022-g4/1200/1200.jpg|https://picsum.photos/seed/tjc-mnt-00022-g5/1200/1200.jpg,,,,,,,,,,
,Nova Max 5G Smartphone Studio № 0023,nova-max-5g-smartphone-studio-no-0023,physical,publish,"Built around what you actually use, 6.4-inch AMOLED display at 120Hz with always-on mode. 256GB on-board storage, 24GB RAM, and a triple-camera system: 32MP main, ultra-wide and 3× telephoto with optical image stabilisation. 5G mmWave + sub-6, Wi-Fi 7, and 5000mAh battery with 30W fast wired and 15W wireless charging. Designed in-house and made to last.",6.4-inch 120Hz 5G smartphone with triple camera.,TJC-PHN-00023,1129.38,,107,instock,1,0.2,16,7.6,0.85,,,,,1,,,visible,"Electronics, Smartphones","smartphone, 5g, android, phone",Pulse Electronics,https://loremflickr.com/1200/1200/smartphone?lock=700023,https://picsum.photos/seed/tjc-phn-00023-g1/1200/1200.jpg|https://picsum.photos/seed/tjc-phn-00023-g2/1200/1200.jpg|https://picsum.photos/seed/tjc-phn-00023-g3/1200/1200.jpg|https://picsum.photos/seed/tjc-phn-00023-g4/1200/1200.jpg,,,,,,,,,,
,Orbit Flex 5G Smartphone S-0024,orbit-flex-5g-smartphone-s-0024,physical,publish,"A studio-tested favourite, 6.1-inch AMOLED display at 120Hz with always-on mode. 128GB on-board storage, 8GB RAM, and a triple-camera system: 48MP main, ultra-wide and 3× telephoto with optical image stabilisation. 5G mmWave + sub-6, Wi-Fi 7, and 4500mAh battery with 100W fast wired and 15W wireless charging. Designed in-house and made to last.",6.1-inch 120Hz 5G smartphone with triple camera.,TJC-PHN-00024,986.94,,114,instock,1,0.21,16,7.6,0.85,,,,,1,,,visible,"Electronics, Smartphones","smartphone, 5g, android, phone",Pulse Electronics,https://loremflickr.com/1200/1200/smartphone?lock=700024,https://picsum.photos/seed/tjc-phn-00024-g1/1200/1200.jpg|https://picsum.photos/seed/tjc-phn-00024-g2/1200/1200.jpg|https://picsum.photos/seed/tjc-phn-00024-g3/1200/1200.jpg|https://picsum.photos/seed/tjc-phn-00024-g4/1200/1200.jpg|https://picsum.photos/seed/tjc-phn-00024-g5/1200/1200.jpg,,,,,,,,,,
,Stride Core Lifting Belt Series 0025,stride-core-lifting-belt-series-0025,physical,publish,"A studio-tested favourite, 16kg cast iron with a powder-coated finish and a soft-grip handle. Built to take a beating in a home gym; backed by a lifetime warranty. Backed by a two-year warranty.","Studio-grade home-gym essential, lifetime warranty.",TJC-FIT-00025,416.03,,0,outofstock,1,13.19,60,40,10,,,,,1,,,visible,"Sports, Fitness","fitness, gym, strength",Apex Outdoors,https://loremflickr.com/1200/1200/fitness%2Cgym%2Cequipment?lock=700025,https://picsum.photos/seed/tjc-fit-00025-g1/1200/1200.jpg|https://picsum.photos/seed/tjc-fit-00025-g2/1200/1200.jpg,,,,,,,,,,
,Tideline Reserve Aged Balsamic Vinegar 250ml Model 0026,tideline-reserve-aged-balsamic-vinegar-250ml-model-0026,physical,publish,"Crafted with care, Cold-pressed extra-virgin olive oil from a single estate in Puglia. Harvested October, milled within 6 hours, and bottled in dark glass to preserve polyphenols. Backed by a two-year warranty.",Cold-pressed single-estate Puglian EVOO.,TJC-PTR-00026,52.26,,24,instock,1,1.27,9,9,30,,,,,1,,,visible,"Food, Pantry","pantry, olive-oil, specialty, food",Borealis Beans,https://loremflickr.com/1200/1200/olive%2Coil%2Cpantry%2Cfood?lock=700026,https://picsum.photos/seed/tjc-ptr-00026-g1/1200/1200.jpg|https://picsum.photos/seed/tjc-ptr-00026-g2/1200/1200.jpg|https://picsum.photos/seed/tjc-ptr-00026-g3/1200/1200.jpg|https://picsum.photos/seed/tjc-ptr-00026-g4/1200/1200.jpg|https://picsum.photos/seed/tjc-ptr-00026-g5/1200/1200.jpg,,,,,,,,,,
,Tideline Heritage Single-Estate Saffron 1g Ref. 00027,tideline-heritage-single-estate-saffron-1g-ref-00027,physical,publish,"Engineered for daily use, Cold-pressed extra-virgin olive oil from a single estate in Puglia. Harvested October, milled within 6 hours, and bottled in dark glass to preserve polyphenols. Ships in 100% recyclable packaging.",Cold-pressed single-estate Puglian EVOO.,TJC-PTR-00027,12.18,,106,instock,1,1.18,9,9,30,,,,,1,,,visible,"Food, Pantry","pantry, olive-oil, specialty, food",Verdant Pantry,https://loremflickr.com/1200/1200/olive%2Coil%2Cpantry%2Cfood?lock=700027,https://picsum.photos/seed/tjc-ptr-00027-g1/1200/1200.jpg|https://picsum.photos/seed/tjc-ptr-00027-g2/1200/1200.jpg|https://picsum.photos/seed/tjc-ptr-00027-g3/1200/1200.jpg,,,,,,,,,,
,Pawborough Trail Cat Tree (4-Tier) Mk 0028,pawborough-trail-cat-tree-4-tier-mk-0028,physical,publish,"A studio-tested favourite, Four-tier cat tree built from FSC-certified pine with hand-wound sisal posts and plush platforms. Stable footprint; arrives in two pieces with M8 fixings. Backed by a two-year warranty.",FSC pine cat tree with hand-wound sisal posts.,TJC-PTC-00028,38.04,,189,instock,1,5.14,60,40,20,,,,,1,,,visible,"Pets, Cats","pets, cat, accessories",Pawborough,https://loremflickr.com/1200/1200/cat%2Cpet%2Csupplies?lock=700028,https://picsum.photos/seed/tjc-ptc-00028-g1/1200/1200.jpg|https://picsum.photos/seed/tjc-ptc-00028-g2/1200/1200.jpg|https://picsum.photos/seed/tjc-ptc-00028-g3/1200/1200.jpg|https://picsum.photos/seed/tjc-ptc-00028-g4/1200/1200.jpg|https://picsum.photos/seed/tjc-ptc-00028-g5/1200/1200.jpg,,,,,,,,,,
,Ochre & Pine Pro Drawing Pencil Set (12 Grades) № 0029,ochre-and-pine-pro-drawing-pencil-set-12-grades-no-0029,physical,publish,"Crafted with care, Professional-grade lightfast pigments in a portable tin with a thumb-ring, a mixing palette, and a sable travel brush. ASTM I lightfast rating across the full range. Backed by a two-year warranty.",Lightfast ASTM I pigments in a travel tin.,TJC-ART-00029,82.28,57.56,95,instock,1,1.56,30,22,5,,,,,1,,,visible,Art & Crafts,"art, craft, painting, supplies",Inkfield,https://loremflickr.com/1200/1200/art%2Csupplies%2Ccraft%2Cpainting?lock=700029,https://picsum.photos/seed/tjc-art-00029-g1/1200/1200.jpg|https://picsum.photos/seed/tjc-art-00029-g2/1200/1200.jpg|https://picsum.photos/seed/tjc-art-00029-g3/1200/1200.jpg|https://picsum.photos/seed/tjc-art-00029-g4/1200/1200.jpg|https://picsum.photos/seed/tjc-art-00029-g5/1200/1200.jpg,,,,,,,,,,
,Atlas Down Insulated Parka Anniversary S-0030,atlas-down-insulated-parka-anniversary-s-0030,physical,publish,"Crafted with care, Three-layer waterproof shell rated to 20,000mm with fully taped seams and a YKK AquaGuard front zip. Adjustable storm hood, packs into its own pocket, and finishes at 510g in size M. Free carbon-neutral shipping over $50.",3-layer 20K mm waterproof shell with taped seams.,TJC-OWR-00030,462.98,,180,instock,1,0.86,36,28,4,reduced-rate,,,,1,,,visible,"Clothing, Outerwear","outerwear, jacket, waterproof",Hearth & Thread,https://loremflickr.com/1200/1200/jacket%2Ccoat%2Couterwear?lock=700030,https://picsum.photos/seed/tjc-owr-00030-g1/1200/1200.jpg|https://picsum.photos/seed/tjc-owr-00030-g2/1200/1200.jpg,,,,,,,,,,
